id,vein,batch,verdict,ic,oos_ic,maxcorr
cand_ffsmoke_beta_risk_upside_beta_qqq_120,beta_risk,smoke,WEAK,0.0212,0.036,0.923
cand_ffsmoke_factor_dual_beta_spread_120,factor,smoke,WEAK,0.0157,0.029,0.922
cand_ffsmoke_intangible_intangible_momentum,intangible,smoke,WEAK,0.0152,0.0,1.0
cand_ffsmoke_microstructure_vpin_proxy_50,microstructure,smoke,WEAK,0.0794,0.0296,1.0
cand_ff06280034a_distribution_dist_drift_ks,distribution,06280034a,WEAK,0.0024,0.0,0.832
cand_ff06280034a_freq_stability_allan_absret_80,freq_stability,06280034a,WEAK,0.0404,0.0514,0.921
cand_ff06280034a_freq_stability_allan_intraday_80,freq_stability,06280034a,PASS,0.0444,0.0588,0.874
cand_ff06280034a_freq_stability_allan_overnight_80,freq_stability,06280034a,WEAK,0.037,0.0451,0.789
cand_ff06280034a_freq_stability_allan_range_80,freq_stability,06280034a,WEAK,0.0391,0.0571,0.911
cand_ff06280034a_freq_stability_allan_vol_80,freq_stability,06280034a,WEAK,0.0304,0.0401,0.687
cand_ff06280034a_info_theory_apen_absret_100,info_theory,06280034a,SLOW,0.0093,0.0169,0.485
cand_ff06280034a_info_theory_apen_ret_120,info_theory,06280034a,WEAK,0.0076,0.0,0.573
cand_ff06280034a_info_theory_lempelziv_ret_120,info_theory,06280034a,WEAK,0.007,0.0,0.332
cand_ff06280034a_info_theory_lempelziv_vol_120,info_theory,06280034a,WEAK,0.0038,0.0,0.266
cand_ff06280034a_info_theory_permutation_entropy_ret_120,info_theory,06280034a,WEAK,0.0045,0.0,0.724
cand_ff06280034a_info_theory_renyi2_absret_120,info_theory,06280034a,WEAK,0.0163,0.0202,0.647
cand_ff06280034a_info_theory_renyi2_vol_120,info_theory,06280034a,WEAK,0.0177,0.0,0.0
cand_ff06280034a_info_theory_sampen_absret_120,info_theory,06280034a,SLOW,0.0244,0.0251,0.673
cand_ff06280034a_info_theory_sampen_ret_120,info_theory,06280034a,SLOW,0.0192,0.0245,0.693
cand_ff06280034a_info_theory_sampen_vol_120,info_theory,06280034a,SLOW,0.0093,0.0177,0.67
cand_ff06280034a_info_theory_tsallis2_ret_100,info_theory,06280034a,WEAK,0.0106,0.0,0.519
cand_ff06280034a_info_theory_weighted_perm_entropy_absret_120,info_theory,06280034a,WEAK,0.0166,0.0,0.518
cand_ff06280034a_info_theory_weighted_perm_entropy_ret_120,info_theory,06280034a,WEAK,0.0095,0.0,0.589
cand_ff06280034a_info_theory_weighted_perm_entropy_vol_100,info_theory,06280034a,SLOW,0.005,0.0145,0.597
cand_ff06280034a_momentum_quality_momentum_smoothness,momentum_quality,06280034a,WEAK,0.0235,0.0265,0.825
cand_ff06280034a_momentum_quality_residual_momentum_120,momentum_quality,06280034a,WEAK,0.0022,0.0,0.784
cand_ff06280034a_trend_ma_alignment,trend,06280034a,WEAK,0.0065,0.0,0.902
cand_ff06280034a_trend_trend_intensity_120,trend,06280034a,WEAK,0.0081,0.021,0.879
cand_ff06280034a_volume_price_updown_volume_ratio_40,volume_price,06280034a,WEAK,0.012,0.0,0.838
cand_ff06280034b_beta_risk_beta_instability_qqq_120,beta_risk,06280034b,PASS,0.0468,0.0602,0.897
cand_ff06280034b_beta_risk_beta_instability_spy_180,beta_risk,06280034b,FAIL,0.0502,0.0557,0.915
cand_ff06280034b_beta_risk_downside_beta_iwm_120,beta_risk,06280034b,PASS,0.0201,0.0274,0.822
cand_ff06280034b_beta_risk_downside_beta_spy_120,beta_risk,06280034b,PASS,0.022,0.0295,0.893
cand_ff06280034b_beta_risk_full_beta_qqq_120,beta_risk,06280034b,WEAK,0.0193,0.0365,0.923
cand_ff06280034b_beta_risk_full_beta_qqq_250,beta_risk,06280034b,WEAK,0.0142,0.0191,0.759
cand_ff06280034b_beta_risk_full_beta_spy_120,beta_risk,06280034b,PASS,0.0178,0.0285,0.91
cand_ff06280034b_beta_risk_full_beta_spy_250,beta_risk,06280034b,WEAK,0.0156,0.0207,0.725
cand_ff06280034b_beta_risk_semibeta_signed_120,beta_risk,06280034b,PASS,0.0414,0.057,0.762
cand_ff06280034b_beta_risk_tail_risk_composite_252,beta_risk,06280034b,WEAK,0.0088,0.0153,0.826
cand_ff06280034b_beta_risk_upside_beta_iwm_250,beta_risk,06280034b,WEAK,0.0091,0.0,0.729
cand_ff06280034b_beta_risk_upside_beta_spy_250,beta_risk,06280034b,WEAK,0.0149,0.0207,0.768
