feats,op,order,v_sep,tail_ir,flip_rate,half1_sep,half2_sep,range_corr,redundancy,max_component_sep,lift_over_components
ATR%|hammer_pattern|trading_signal_composite,mean3,3,0.07190292076364595,0.9237411369590776,0.203125,0.08046571961955953,0.06359960066094185,0.3462103257768295,0.5792433012752431,0.049875357889666544,0.022027562873979403
atr_percentage|hammer_pattern|trading_signal_composite,mean3,3,0.07190292076364595,0.9237411369590776,0.203125,0.08046571961955953,0.06359960066094185,0.346210318892115,0.5792432979552549,0.049875357889666544,0.022027562873979403
atr_percentage|hammer_pattern|volatility_score,mean3,3,0.07016190101710307,0.9214885308275049,0.21875,0.08522391904157342,0.05555630778125305,0.24387225884340125,0.600886235469642,0.049875357889666544,0.020286543127436524
ATR%|hammer_pattern|volatility_score,mean3,3,0.07016190101710307,0.9214885308275049,0.21875,0.08522391904157342,0.05555630778125305,0.2438722714450655,0.6008862930767601,0.049875357889666544,0.020286543127436524
ATR%|hammer_pattern|Volume%_rolling_90,mean3,3,0.07416524237425107,0.9045839790266936,0.265625,0.07233403204325002,0.07594096148310059,0.4870827122915059,0.6045357531831042,0.049875357889666544,0.024289884484584523
atr_percentage|hammer_pattern|Volume%_rolling_90,mean3,3,0.07416524237425107,0.9045839790266936,0.265625,0.07233403204325002,0.07594096148310059,0.4870827128769348,0.6045357521632196,0.049875357889666544,0.024289884484584523
ATR%|rapid_price_change_zscore|G_Volume_Trend_Analyzer,mean3,3,0.06625494969391278,0.8982464049226611,0.265625,0.07684689004254516,0.055983977234632894,0.4686354926384146,0.5709998328274211,0.049875357889666544,0.016379591804246238
atr_percentage|rapid_price_change_zscore|G_Volume_Trend_Analyzer,mean3,3,0.06625494969391278,0.8982464049226611,0.265625,0.07684689004254516,0.055983977234632894,0.468635492208997,0.5709997754222873,0.049875357889666544,0.016379591804246238
ATR%|hammer_pattern|G_Volume_Trend_Analyzer,mean3,3,0.07277833147066458,0.8954276573942697,0.234375,0.0756685277318844,0.06997571691433022,0.45820940531115123,0.5999807407951541,0.049875357889666544,0.022902973580998034
atr_percentage|hammer_pattern|G_Volume_Trend_Analyzer,mean3,3,0.07277833147066458,0.8954276573942697,0.234375,0.0756685277318844,0.06997571691433022,0.4582094024187252,0.5999807368831005,0.049875357889666544,0.022902973580998034
mp_d4_b396_sym_trace|ATR%|volatility_score,mean3,3,0.07398139607188012,0.886593162268127,0.25,0.08399838385727347,0.06426795337089262,0.34140625359782234,0.643035296013584,0.05552749810283517,0.018453897969044945
mp_d4_b396_sym_trace|atr_percentage|volatility_score,mean3,3,0.07398139607188012,0.886593162268127,0.25,0.08399838385727347,0.06426795337089262,0.34140624803442055,0.6430352458681255,0.05552749810283517,0.018453897969044945
atr_percentage|hammer_pattern|G_Log_Scaled_Price_Ratio,mean3,3,0.06940800619696279,0.8775593765955226,0.28125,0.07774662536734124,0.06132207245598975,0.42844810305231046,0.6491408357741691,0.049875357889666544,0.019532648307296244
ATR%|hammer_pattern|G_Log_Scaled_Price_Ratio,mean3,3,0.06940800619696279,0.8775593765955226,0.28125,0.07774662536734124,0.06132207245598975,0.4284481061287701,0.6491408359330986,0.049875357889666544,0.019532648307296244
atr_percentage|Volume%_rolling_90,max,2,0.06601075150500357,0.8740981169510741,0.25,0.07238658032581234,0.05982812961815873,0.4639258967333979,0.4844635799134288,0.049875357889666544,0.01613539361533703
ATR%|Volume%_rolling_90,max,2,0.06601075150500357,0.8740981169510741,0.25,0.07238658032581234,0.05982812961815873,0.46392589224429365,0.4844636209034904,0.049875357889666544,0.01613539361533703
atr_percentage|hammer_pattern|cv_20d_regime_low,mean3,3,0.0703202250185,0.8735888992699682,0.375,0.07692750847653285,0.06391316227131663,0.1801302315746148,0.5660773807267985,0.049875357889666544,0.02044486712883345
ATR%|hammer_pattern|cv_20d_regime_low,mean3,3,0.0703202250185,0.8735888992699682,0.375,0.07692750847653285,0.06391316227131663,0.18013024789679294,0.5660774411318605,0.049875357889666544,0.02044486712883345
ATR%|volatility_score|Volume%_rolling_90,mean3,3,0.05987022372396054,0.8724202543957805,0.25,0.07330040316545022,0.04684701941706146,0.43785485349447617,0.5803178933346338,0.049875357889666544,0.009994865834293994
